"Bug ID","Product","Component","Assignee","Status","Resolution","Changed","Summary",,
425594,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2014-06-30 19:58:15","Extern property with package visibility incorrectly initialized by default class constructor with default value",,
426360,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2014-01-27 05:36:53"," Backporting model explorer revealer code",Model Explorer,
430244,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2014-03-13 03:11:39","Hangs when exporting pdf to networked drive",,
431008,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2014-03-25 08:59:48"," There are two different ways to load additional models which are called completely different things",Usability,
432954,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 10:50:24"," updating profile does not trigger re-apply if Profile URI has a user defined value",Profiles,
437737,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2014-06-19 06:56:09","Link new model as sub-model into existing model",,
438596,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2014-11-28 05:57:37","Package import fails due to illegalValueException on association nodes",,
456429,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 09:25:01"," Can't set default value for a literal",UMLPropertiesView,
457702,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-03-02 03:43:32"," integrate the mwe2 workflow and xtend generation at the build phase for the plugin org.eclipse.papyrus.infra.gmfdiag.css.xtext",Releng,General,Xtext,
459170,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-03-02 10:45:04","Renaming a model causes random files to be created",,
459772,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-02-12 08:17:26",": add the management of overwrite for Advice",naming convention,
459773,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-02-12 08:19:49",": add the management of after/before feature in respect of overwrite patterns",naming convention,
459776,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-02-12 08:24:17",": modify SetValuesAdviceConfiguration.ecore to add a specilation of for QueryExecutionValue",naming convention,
460235,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-02-18 07:52:17","ModelSet.addResourceLoadStateListener throws NPE",,
461831,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-03-10 10:46:17","Dependence not declared between ""org.eclipse.papyrus.infra.emf"" and ""org.eclipse.papyrus.infra.services.edit""",,
462223,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-03-16 08:23:31","Keep selection in model explorer when toggling between simple and advanced modes",,
462685,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-03-20 09:43:12","ValidateModelCommand stuck in infinite for-loop (sometimes)",,
462791,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 10:46:51"," Provide ability to unset optional tagged values.",Profiles,UMLPropertiesView,
463637,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 09:37:06"," Performance is worse than ever in SR2",Performances,
465645,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-04-28 03:29:16"," Syntax tree issue when doing this.listclassmember.add",ALF,
467185,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-05-14 07:24:05","Cleaning of org.eclipse.papyrus.infra.core when deleting project/model in the workspace",,
468274,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-05-26 08:00:29","Exporting a team project set file requires remote URL to be configured",,
469326,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-11-16 15:37:18"," Cannot create extended relationships having a constraining container descriptor",Extended-types framework,
469430,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-06-04 20:57:59","Add a EMF only mode to Papyrus",,
469431,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-11-18 09:26:37","Add use of EMF Java Code generator",,
471102,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-02 12:42:18"," Runtime exception while accessing Preferences->Embedded Editors->Common",ALF,
471536,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-07-02 08:39:16",": find namedelement by qualified name",refactoring,
472243,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-02 13:11:35"," SyntaxException in OCLUtil.checkForErrors (350)",OCL,
472920,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-07-17 04:27:03"," Improve programmatic import of Primitive Types",UML - Tools,
473648,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-08-26 17:18:49","NullPointerException in AbstractEMFOperation.rollback (630)",,
474012,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-02 11:41:28"," NPE in apply stereotype post action for regions and nested states in new regions",StateMachineDiagram,
478070,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-09-01 05:47:26"," Update the values of the required java version",Build,
478432,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-09-30 05:02:00"," Slow Response on ""New Diagram"" & ""New Table"" options of contextual menu",Model Explorer,
479195,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-03-04 11:35:39","Add a ""Where used"" Context Menu in both Diagrams and Model Explorer",,
481204,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-11-01 20:38:50","Add a context menu for zoom fit whole diagram to the view window",,
481205,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-03 05:24:38"," Remove disabled functions from the Palette",CommonDiagram,
481822,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-11-10 05:56:59"," org.eclipse.papyrus.cdo.core has dependencies to UI-plugins",CDO,
481833,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 08:40:56"," Loading a Sash-Model with any properties of type JavaObject fails",ModelEditor,
484171,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2015-12-11 04:34:01","Unable to open the model after model change",,
487026,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-02-02 11:43:03","IPapyrusListener / org.eclipse.papyrus.infra.core.modelListener not notified by di or notation model",,
487489,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2020-04-09 09:56:03"," [Facet] Dependency relationships in Model Explorer should be nested to aid readability (Simple UML Facet)",Model Explorer,Facet,
487815,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-06-01 08:27:11"," new pom architecture",releng,
488457,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-02-25 07:27:05"," Transfer values when changing stereotypeapplication within same inheritance hierarchy",Feature,
489506,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-02 13:21:12"," Application of Stereotype having multiple extensions with isRequired=true fails validation",UMLValidation,
489542,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-03-14 09:32:23","RuntimeException below PackageExplorerContentProvider$4.run",,
489701,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-09-14 07:17:05"," Validation for wrong extension multiplicity",ProfileDiagram,UMLValidation,
490568,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-04-07 07:24:59"," problem of compilation of oep.def promotion of developer features",developer,
492126,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-05-04 17:29:22"," Papyrus IModel.save() should offer possibility to pass in an IProgressMonitor",CDO,
493344,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-09-27 09:21:28"," Problem with stereotype property (tagged value) from imported package",Profiles,
493417,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-05-11 08:05:18"," Missing check on the thread UI before executing property changes",ALL DIAGRAMS,
496169,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-06-15 08:06:22","Cannot reorient the endpoint of a Dependency not owned by a package.",,
506054,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-10-17 04:31:01","ClassCastException in PapyrusContentProvider$2.run",,
506413,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-06-20 10:16:12","NullPointerException below DelegatingObservable.fireEvent (thrown in DecoratingObservableValue.setValue)",,
506750,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-11-15 04:33:48","NamedElement element names shall be configurable",,
507588,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 09:02:58"," refactor the Papyrus menus and popups",Usability,Workbench,
509201,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-12-14 03:55:34"," [releng] The jarsigner dependency should only be resolved when the profile is activated",papyrus,releng,
509398,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-03 05:16:42"," Custom Palette - could not find entry createCombinedFragmentTool",Palettes,
509437,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 10:38:07"," NPE in property dialog for setting stereotype's attributes",UMLPropertiesView,
509556,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-02 13:11:18"," OCL Console statement w/ select( oclIsKindOf(xx) ) causes NPE and UnsupportedOperationException if Package contains Enumeration elements.",OCL,
509906,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-01-04 03:02:07","PAGE_LIST is deprecated",quality,
509957,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-01-05 04:07:30"," refactoring newchild menu",NewChild,userxp,
510324,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-01-11 16:53:46","StereotypeElementListener fails to deliver undoRedoNotifications on rollback",,
510584,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-01-17 09:50:26"," problem of management in target platform",releng,
511305,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 11:34:36"," wrong default value generated in ecore model for LiteralUnlimitedNatural",Profiles,
512139,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 10:36:29"," Multiple Inheritance in UML Profile",Profiles,
516241,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-06-01 09:41:17","Guava :java.lang.NoSuchMethodError",,
518948,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-06-04 05:03:02"," RCP installation experience",Releng,
520678,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-08 07:58:23"," no reason to have a link on a maven repo on HIPP",releng,
521273,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-10-22 12:47:54"," NPE in InternationalizationModelResource.createModel at line 466",Internationalization,
521474,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-28 10:36:42"," refactor the menu of Sash Windows Editor",userxp,
521478,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-28 11:01:26"," split the example feature into two one for developer and one for user",xp,
521981,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-09-07 05:25:44"," pom naming and version convention",releng,
522145,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-09-18 08:10:18"," use project specific preferences to enhance code quality",General,
522280,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-09-14 06:11:09","ComponentRealization are incorrectly stored in supplier component",,
526853,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-11-08 12:27:40","package import always imports all packages of a model",,
527204,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-11-13 10:01:21"," creation of function to generate a class to manage QualifiedNames of given an input Profile",Profile,
528142,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-12-05 04:57:38","Weird references for local profiles applied via the New Papayrus Model wizard",,
529364,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-01-03 05:07:23","Color attributes for Richtext not working on OSX",,
529478,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-01-06 11:37:21"," Diagram update",State Machine Diagram,
530946,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-02-09 10:15:15"," Setting multiplicity lower bound - strange update behavior in the Model Explorer",Property View,
532064,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-05-04 05:26:49"," Bad architecture context on sub-model when using control mode",AFViewpoints,
532103,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-03-07 05:21:50"," Erroneous copy of association when copying a package",CopyPaste,
532168,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-03-08 07:54:03","ControlledResourceTracker throws NPE upon Rollback",,
532323,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-03-12 07:49:30","ShardResourceHelper throws NPE",,
532915,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-03-29 14:38:36","DSL/DSML customization",,
533321,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-04-06 11:20:28","Comment editor does not scale vertically",,
534251,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-05-03 02:25:02","Import package from user model fails for some of the available model loading strategies",,
534291,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-05-03 01:32:37","Notifications after an element in a submodel has been manually loaded is sent before the loaded element has been completely resolved",,
536406,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-06-28 11:22:41","I had requested update just after I started Papyrus. Papyrus showed that would have been updated I confirmed and it failed at about 35%",,
536964,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-07-12 10:04:46","Several issues for sequence diagram in Papyrus 4.0",,
536966,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-07-12 09:57:20","Remove menu choices for viewpoints ""Software Analysis / Design"" from new project menu",,
537734,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-08-07 03:18:11","update does not find repositories",,
537736,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-08-06 14:49:39","insufficient validation of multiplicity property field",,
538964,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-09-12 02:28:04","ModelExplorer Activator throws IllegalThreadException",,
539325,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-09-21 08:02:25"," Profile migration does not occur for profile applications on models within a component",Profile,
541749,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-11-30 09:33:03"," The grid can not be displayed on Linux",Diagram,
542692,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-12-12 00:07:42","New Papyrus Model with an existing model deletes the model",,
544596,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2019-02-20 04:09:12"," The css api should be refactored to allow implementation for other views",CSS,
545885,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2019-04-30 15:55:20"," Use of quick link handle causes Papyrus stop responding for >30 sec",Any Diagram,
547223,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2019-05-13 09:29:06","org.eclipse.swt.SWTException: Return value not valid (g_object_get_qdata)",,
549026,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2019-07-06 14:12:14","Applying <Const> to create a T const* in C++ always yields const T*",,
549877,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2020-05-13 06:51:22"," We should be able to link an element name string and an UML element in text field",Links,
553618,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2021-03-12 05:09:57"," Double click on InteractionUse launch an exception",SequenceDiagram,
568374,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2021-02-25 09:10:34","F2 shortcut should trigger EditHelperAdvice methods",,
570771,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2021-01-29 21:27:33","Papyrus framework does not call the validation callbacks of a Java static profile",,
570772,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2021-02-26 01:03:51","Papyrus profile exception when simply clicking on property with single UML::Integer type",,
462337,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:44:12"," Introduce a generic mechanism to tag stereotypes that shall not be possible to apply manually",Profiles,
485220,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-08-07 08:59:02"," Provide a more modular architecture (& builds) for Papyrus",General,Releng,
541027,"Papyrus","Core","aurelien.didier","NEW"," ---","2020-12-10 08:23:32"," remove duplicated and deprecated classes in org.eclipse.papyrus.infra.gmfdiag.tooling.runtime",Remove deprecated,Refactoring,
268779,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2019-02-08 04:05:44"," Papyrus shall allow to automatically Close tools of unselected diagrams",ModelEditor,
285833,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2018-12-21 04:07:59"," Adding tools in order to connect an editor to the Papyrus environment",ModelEditor,
290937,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:59:43"," Papyrus shall support CDO for persisting more scalable models",CDO,
290939,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:55:37","Investigate use of RESTful resources API from e4",,
290941,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:57:49","Investigate support for EMF binary resource implementation",,
290943,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:51:22"," Papyus shall investigate introduction of custom widgets to improve its usability.",Usability,
293145,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:56:32"," Support to automatically validate the model when saving",Validation,
293767,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:44:34"," DiResourceSet assumes the names of some resources",General,
297833,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:49:26"," Bad stereotype property representation when displayed with braces",All Diagrams,
302555,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:51:31","DragAndDrop Link after closing Papyrus",AllDiagram,AllLinks,
306808,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:58:40"," Bug in the setting value for properties typed by a stereotype",Palettes,
307055,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-08-07 09:16:24"," Inconsistent measures",GMF,CommonDiagram,Workbench,
307084,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:59:13"," Enhancements needed",Workbench,Usability,
307849,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:45:53"," Cumbersome tree notation",ClassDiagram,
307852,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:46:46"," Streamlined behavior needed",Appearance,
307870,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:49:22"," Moving the name of a node",Graphical editors,
307873,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 10:00:07"," Pop-up menu limited",General diagrams,
307874,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:57:14"," Quick link to diagrams",Model Explorer,
309647,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:57:37"," It should be possible to provides predefined perspective configuration",General,
311717,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-05-11 04:02:00"," New services should be in their own packages",Core,
311774,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:52:48"," EObjectInheritanceCopyCommand is  duplicated.",General,
313886,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:44:00"," No warning during model opening if imported models can not be found",Usability,
314890,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:47:02"," Papyrus wizard shall allow to choose several diagram categories",Wizard,
315300,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-18 10:42:59"," Papyrus shall improved its Public API for managing model set.",Core,
316549,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:47:20","  add the possibility to restore connections automatically when drag and drop",all diagrams,
317420,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:56:02"," Not possible to change the font and size of the text in the comment element",All Diagrams,
318606,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:45:48"," No simple way to add parameters or comments to an operation",ClassDiagram,Properties View,
319956,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-08-03 05:18:34"," Problem when adding applied stereotype in an aspect action",Palettes,
320892,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:43:48"," Usability improvement for Model / Project creation wizards",Wizard,
320914,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:43:37"," Improve homogeneity in element creation dialog",Palettes,UMLTypes,CommonDiagram,
320997,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:45:47"," Diagram becomes inconsistent when we retarget a link which is many times on the diagram",All Diagrams,All links,
321339,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:57:36"," Problem with renaming a project when a diagram is open",All Diagrams,
321731,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:49:04"," Replace relative paths in *.gmfgen with platform:/plugin uris",DiaGen,
324090,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:52:13"," Pulldown Toolbar should be able to execute the last action",Usability,
324307,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-08-02 11:39:31"," DnD of a delegation connector from model explorer is visually wrong placed if it connects an inherited port",CompositeDiagram,
324953,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:51:18"," Papyrus shall provide an editor of Abstract User Interface.",Abstract User Interface Editor,
325014,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-03-07 11:37:04"," Add IElementType specialization for each kind of Pseudostate elements",UMLTypes,
328002,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:46:27"," XText integration shall use Element Edit Service for setting Attribute and References",TextEditors,
328224,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:55:34"," Using Edit Service To Edit the properties of Element",Properties View,
328506,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-08-07 11:29:47"," EditHelper getDestroyDependentCommand ignored when a specific IClientContext is required",ElementTypes,
